year,code,q1,q2,q3,race_name,position,rank,laps,fastestLapTime,tot_pit_time,labels ,points,statusId
2023,HAM,1:31.543,1:30.513,1:30.384,Bahrain Grand Prix,7,5,57,1:36.546,49372,Finished,10,1
2023,ALO,1:31.158,1:30.645,1:30.336,Bahrain Grand Prix,5,3,57,1:36.156,50669,Finished,15,1
2023,HUL,1:31.204,1:30.809,NA,Bahrain Grand Prix,10,15,57,1:36.616,90924,Lap +1,0,11
2023,PER,1:31.479,1:30.746,1:29.846,Bahrain Grand Prix,2,2,57,1:36.344,49355,Finished,18,1
2023,BOT,1:31.504,1:31.443,NA,Bahrain Grand Prix,12,8,57,1:37.379,51042,Finished,4,1
2023,MAG,1:31.892,NA,NA,Bahrain Grand Prix,17,13,57,1:36.471,75908,Lap +1,0,11
2023,VER,1:31.295,1:30.503,1:29.708,Bahrain Grand Prix,1,1,57,1:36.236,49199,Finished,25,1
2023,SAI,1:30.993,1:30.515,1:30.154,Bahrain Grand Prix,4,4,57,1:37.130,48727,Finished,12,1
2023,STR,1:31.184,1:31.127,1:30.836,Bahrain Grand Prix,8,6,57,1:36.546,50088,Finished,8,1
2023,GAS,1:32.181,NA,NA,Bahrain Grand Prix,20,9,57,1:35.068,75500,Finished,2,1
2023,NOR,1:31.652,1:31.381,NA,Bahrain Grand Prix,11,17,57,1:35.822,195334,Laps +2,0,12
2023,RUS,1:31.057,1:30.507,1:30.340,Bahrain Grand Prix,6,7,57,1:37.221,51468,Finished,6,1
2023,ALB,1:31.461,NA,NA,Bahrain Grand Prix,15,10,57,1:37.144,74432,Finished,1,1
2023,TSU,1:31.400,1:32.510,NA,Bahrain Grand Prix,14,11,57,1:36.637,75457,Finished,0,1
2023,ZHO,1:31.615,1:31.473,NA,Bahrain Grand Prix,13,16,57,1:33.996,81236,Lap +1,0,11
2023,DEV,1:32.121,NA,NA,Bahrain Grand Prix,19,14,57,1:37.709,50252,Lap +1,0,11
2023,SAR,1:31.652,NA,NA,Bahrain Grand Prix,16,12,57,1:36.037,76317,Lap +1,0,11
2023,HAM,1:29.689,1:29.374,1:29.223,Saudi Arabian Grand Prix,8,5,50,1:32.941,21102,Finished,10,1
2023,ALO,1:29.298,1:28.757,1:28.730,Saudi Arabian Grand Prix,3,3,50,1:32.240,26879,Finished,15,1
2023,HUL,1:29.547,1:29.451,NA,Saudi Arabian Grand Prix,11,12,50,1:33.780,21567,Finished,0,1
2023,PER,1:29.244,1:28.635,1:28.265,Saudi Arabian Grand Prix,1,1,50,1:32.188,20715,Finished,25,1
2023,BOT,1:29.929,1:29.668,NA,Saudi Arabian Grand Prix,14,18,50,1:34.384,65504,Lap +1,0,11
2023,MAG,1:29.744,1:29.634,NA,Saudi Arabian Grand Prix,13,10,50,1:33.374,20870,Finished,1,1
2023,VER,1:28.761,1:49.953,NA,Saudi Arabian Grand Prix,15,2,50,1:31.906,20824,Finished,19,1
2023,SAI,1:29.411,1:28.957,1:28.931,Saudi Arabian Grand Prix,5,6,50,1:32.822,20760,Finished,8,1
2023,OCO,1:29.707,1:29.255,1:29.078,Saudi Arabian Grand Prix,7,8,50,1:33.222,20762,Finished,4,1
2023,GAS,1:29.890,1:29.411,1:29.357,Saudi Arabian Grand Prix,10,9,50,1:33.392,20719,Finished,2,1
2023,LEC,1:29.376,1:28.903,1:28.420,Saudi Arabian Grand Prix,2,7,50,1:33.056,20026,Finished,6,1
2023,NOR,1:30.447,NA,NA,Saudi Arabian Grand Prix,19,17,50,1:34.122,50796,Finished,0,1
2023,RUS,1:29.592,1:29.132,1:28.857,Saudi Arabian Grand Prix,4,4,50,1:32.433,20828,Finished,12,1
2023,TSU,1:29.939,NA,NA,Saudi Arabian Grand Prix,16,11,50,1:33.931,21414,Finished,0,1
2023,ZHO,1:29.654,1:29.461,NA,Saudi Arabian Grand Prix,12,13,50,1:33.894,42985,Finished,0,1
2023,DEV,1:30.244,NA,NA,Saudi Arabian Grand Prix,18,14,50,1:33.609,21116,Finished,0,1
2023,PIA,1:29.706,1:29.378,1:29.243,Saudi Arabian Grand Prix,9,15,50,1:34.287,31534,Finished,0,1
2023,SAR,2:08.510,NA,NA,Saudi Arabian Grand Prix,20,16,50,1:34.469,21064,Finished,0,1
2023,HAM,1:17.689,1:17.551,1:17.104,Australian Grand Prix,3,2,58,1:20.613,3656286,Finished,18,1
2023,ALO,1:17.832,1:17.283,1:17.139,Australian Grand Prix,4,3,58,1:20.476,3646319,Finished,15,1
2023,HUL,1:18.029,1:17.412,1:17.735,Australian Grand Prix,10,7,58,1:21.124,3676093,Finished,6,1
2023,PER,NA,NA,NA,Australian Grand Prix,20,5,58,1:20.235,3703013,Finished,11,1
2023,BOT,1:18.714,NA,NA,Australian Grand Prix,19,11,58,1:22.233,3662236,Finished,0,1
